angle_deg,reynolds,cd
60.0,60044.553962999998,1.3409089999999999
60.0,71041.81653400000,1.2954550000000000
60.0,85839.73824500000,1.2424240000000000
60.0,100117.8771150000,1.2651520000000001
60.0,105256.46018500000,1.037879000000000
60.0,110717.47039900000,0.6969700000000000
60.0,135651.142447000,0.666667000000000
60.0,150671.63880300001,0.6590910000000000
60.0,193769.3768030000,0.7424240000000000
60.0,240727.34033899999,0.7348479999999999
60.0,299054.4998550000,0.7348479999999999
45.0,152498.731070000,1.075758000000000
45.0,175417.07077200001,1.068182000000000
45.0,199017.17551000000,1.0151520000000001
45.0,229031.7792890000,0.9090910000000000
45.0,301442.3969170000,0.5303030000000000
45.0,351657.34151400003,0.5075760000000000
45.0,424786.9897030000,0.5151520000000001
15.0,200351.1835520000,1.0833330000000001
15.0,248904.1784930000,1.075758000000000
15.0,300952.65898900002,0.8787880000000000
15.0,330260.14857399999,0.4621210000000000
15.0,367218.67611000000,0.227273000000000
15.0,393909.6794310000,0.1893940000000000
15.0,446857.7590600000,0.1590910000000000
30.0,197580.2757100000,1.068182000000000
30.0,247238.14835900001,1.0151520000000001
30.0,265208.46051399998,0.9772729999999999
30.0,301037.7736110000,0.8181820000000000
30.0,318553.7486450000,0.6969700000000000
30.0,351856.27921100002,0.3863640000000000
30.0,396255.8018180000,0.4166670000000000
0.0,198834.35750799999,1.2121210000000000
0.0,243663.7017510000,1.1363639999999999
0.0,298663.6385280000,1.0151520000000001
0.0,348600.47296699998,0.8787880000000000
0.0,374917.6136170000,0.2803030000000000
0.0,407865.96431200003,0.227273000000000
0.0,456210.2468480000,0.2196970000000000
0.0,599512.4073380000,0.1742420000000000

